ID,Nom,Longueur Moyenne (cm),Longueur Maximale (cm),Poids Moyen (kg),Poids Maximum (kg),Age Maximal,Nourriture,Emplacement,Profondeur Minimale (m),Profondeur Maximale (m),Cause de l'attaque,Réputation,Signes distinctifs,Protection
1,Le poisson-Pierre,25,50,1.5,2,10,"petits poissons et de crevettes","la mer Rouge, le bassin Indo-Pacifique, l'océan Pacifique",0,50,"Auto-défense","le pire poisson; horrible due à son camouflage et ses piqûres","Ressemble à une pierre, avec 12 ou 13 épines dorsales",LC
2,Le serpent marin,120,300,0.4,1.2,15,"poissons et de murènes","l'océan Indien, l'océan Pacifique, l'Océanie",0,140,"Auto défense, surprit par l'homme","sournois ainsi que rapide et étrange",Serpent terrestre avec différents motifs sur leur peau,LC
3,La pieuvre aux anneaux bleus,8,15,0.05,0.1,2,"petits crabes et de crevettes","l'océan Indien, l'océan Pacifique",0,55,"Auto défense, stress",belle et dangereuse,"petite pieuvre, peau jauntâtre qui se change en; anneaux bleus lorsqu'elle se sent menacée",LC
4,Le grand requin blanc,400,640,680,3300,65,"requins, tortues, dauphins, phoques et otaries","l'océan Atlantique, l'océan Indien, l'océan Pacifique",0,1280,"Confusions avec ses proies","mangeur d'homme","Ventre blanc, dos gris-bleu, bouts de nageoires noires",VU
5,Le crocodile marin,4300,10000,400,1000,70,"poissons, crustacés, singes, oiseaux, requins et buffles","l'Asie du Sud, l'Océanie",0,20,"L'homme est une proie; mais il préfère d'autres espèces","un crocodile gigantesque, mangeur d'homme","Grand crocodile pouvant supporter l'eau salée,; avec souvent des algues sur son corps, ressemble à un alligator",LC
6,La méduse boîte,quelques,300,0.05,2,1,"poissons et petits invertébrés","les eaux tropicales, les subtropicales, l'océan Pacifique, la Californie, l'Afrique du Sud, la mer Méditerranée",0,40,Auto-défense,"très piquante, ronde, elle peut être avalée; et peut entraîner des pertes de connaissance","Tentacules, chapeau carré, transparente",LC
7,Le barracuda,120,210,30,54.6,15,"poissons et crustacés","l'océan Atlantique, l'océan Indien",0,100,Auto défense,très rapide et efficace,"Long poisson, ressemble à un serpent aux dents; pointus et acérées",LC
8,La raie Pastenague,100,250,15,20,30,"petits poissons et invertébrés benthiques","le Nord-est de l'océan Atlantique, la mer du Nord, la mer Méditerranée, la Polynésie",1,200,Auto défense,"plate, au fond de l'eau; elle se défend avec un dard vénéneux au bout de sa queue","Forme de lozange, dos beige, ventre blanc,; yeux très hauts et à la base de la tête : larges spirales avec; orifices respiratoires",DD
9,Le conus,16,30,0.02,0.06,5,"mollusques, poissons et vers","l'océan Pacifique, l'océan Indien",0,20,Auto défense,"joli, crée des perles","Blanc, tâches oranges / rougeâtre",LC
10,L'oursin,10,30,"0,3",Inconnu,100,"plantes aquatiques et d'algues encroûtantes","les fond marins, les lacs et océans, en région tropicale comme en région glaciaire",0,10,Auto-défense,"rond, piquant, vénéneux; apparance d'une châtagne ou d'un marron","Carapace dotée de nombreuses épines,; ils sont appelés ""hérissons de mer"" ou ""châtaignes de mer"",; couleurs variables",LC
